N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
12,80,23,5.8,32,89,63,pigeonpeas
40,63,53,6.4,20,128,75,papaya
32,33,28,6.5,28,198,76,mango
24,132,198,6.8,6,145,64,apple
120,30,48,6.2,20,87,76,muskmelon
36,13,45,6.9,27,53,62,pomegranate
80,59,15,6.3,30,87,56,maize
64,70,45,6.2,30,121,79,papaya
11,34,31,7.2,24,124,72,mango
118,42,23,6.2,27,79,67,cotton
30,25,26,6.8,24,106,76,mango
6,16,26,6.8,31,134,76,mango
85,10,55,7,20,74,71,watermelon
101,50,23,6.5,25,79,60,cotton
22,66,16,6.6,23,75,67,lentil
1,47,23,6.7,23,67,70,mungbean
99,29,45,6.5,20,86,80,watermelon
19,79,23,7.4,29,50,70,pigeonpeas
92,59,40,5.6,31,111,80,rice
25,126,203,7,8,147,66,apple
37,127,205,6.5,20,41,60,grapes
112,23,50,6.3,20,94,76,muskmelon
20,31,28,6.3,24,189,74,mango
93,57,43,6.6,26,123,77,rice
35,21,8,7,29,107,65,orange
109,15,55,6.6,20,55,72,watermelon
28,19,34,6.6,23,158,71,coconut
85,7,45,6.4,20,76,75,muskmelon
10,58,25,6.4,28,67,65,mothbeans
125,45,20,6.1,22,61,70,cotton
40,60,19,6.9,27,83,65,mungbean
6,24,10,6.4,28,144,63,orange
30,58,25,6.5,26,53,66,mungbean
99,39,20,6.4,22,93,51,maize
84,42,23,6.1,28,99,51,maize
90,23,49,6.7,20,68,80,muskmelon
11,36,27,6.3,34,195,70,mango
20,59,84,6.3,28,91,61,chickpea
14,7,28,7.3,35,176,72,coconut
30,19,12,6.1,20,94,66,orange
25,128,201,6.3,10,147,66,apple
26,10,9,6.2,28,135,67,orange
94,24,52,6.8,20,55,79,muskmelon
104,16,52,6.3,20,50,75,muskmelon
28,10,43,6.9,20,100,62,pomegranate
2,65,16,6.4,25,52,61,lentil
34,13,41,6.7,28,88,68,pomegranate
69,36,40,5.5,34,139,79,rice
39,69,17,6.2,21,55,69,pigeonpeas
28,11,41,6.7,28,50,63,pomegranate
45,76,20,6.1,26,96,65,blackgram
96,58,38,6,24,112,71,rice
119,60,22,6.9,30,72,69,cotton
92,55,44,6.8,33,105,72,rice
39,145,202,6.9,8,127,62,apple
93,26,46,6.2,20,85,78,watermelon
64,53,40,6.1,32,115,80,rice
65,53,55,6.5,28,145,79,papaya
6,127,202,6.3,13,96,61,grapes
57,78,22,6.8,35,64,70,blackgram
93,21,53,6.7,20,97,74,muskmelon
17,16,29,6.9,28,191,75,coconut
4,76,21,6.5,23,64,62,kidneybeans
37,48,24,6.4,32,91,61,mothbeans
61,53,45,6.5,35,149,74,rice
6,61,22,6.7,30,79,63,lentil
71,55,41,5.7,34,100,75,rice
30,64,84,7.1,30,34,64,chickpea
80,77,50,5.9,25,152,74,banana
4,55,25,6.7,26,69,70,kidneybeans
5,132,199,6.5,12,98,60,grapes
64,48,48,6.2,21,108,75,papaya
50,79,76,6.2,28,25,63,chickpea
9,137,203,6.6,17,75,60,grapes
135,55,17,6.4,30,50,62,cotton
11,19,34,7.2,31,180,78,coconut
99,53,17,6.4,23,53,57,maize
37,61,19,7,25,66,66,lentil
37,49,18,7.3,33,85,60,mothbeans
5,52,24,6.1,29,96,68,mungbean
22,61,82,7.4,20,74,65,chickpea
116,73,48,6.2,30,194,71,banana
51,66,82,7.1,25,86,64,chickpea
2,63,16,6.1,27,51,64,kidneybeans
105,95,52,5.9,26,151,71,banana
32,78,18,6.6,28,81,68,blackgram
115,75,52,6.2,30,167,80,banana
87,48,18,6.1,21,53,53,maize
112,71,45,6.5,26,157,71,banana
26,134,204,6.7,10,129,65,apple
38,36,25,6.4,26,75,62,mothbeans
116,30,48,7,20,50,78,watermelon
16,27,35,6.6,35,188,78,coconut
65,54,42,6.6,35,122,72,rice
4,22,44,6.9,36,77,62,pomegranate
12,75,17,6,24,61,70,pigeonpeas
89,94,52,5.5,22,176,76,banana
68,52,51,6.2,28,134,74,papaya
8,136,198,6.8,17,65,63,grapes
34,48,45,6,30,147,72,papaya
91,11,54,6.7,20,65,79,watermelon
21,57,25,6.1,25,94,69,lentil
24,135,198,6,15,49,65,grapes
21,75,23,5.9,24,59,62,pigeonpeas
105,95,52,7,24,191,77,banana
24,69,20,6.9,26,83,69,lentil
74,40,23,6.4,23,57,50,maize
34,23,29,6.9,28,135,80,mango
34,72,25,6.4,28,64,65,kidneybeans
112,26,54,6.6,20,84,71,muskmelon
24,13,40,6.6,26,88,64,pomegranate
15,13,5,7,21,125,67,orange
16,35,31,6.4,23,114,77,mango
104,48,18,6.5,23,91,64,cotton
28,62,15,6.7,33,96,62,pigeonpeas
128,44,25,6.1,27,80,70,cotton
53,49,45,6.9,23,126,78,papaya
39,30,42,6.5,37,86,64,pomegranate
23,78,24,6.9,34,70,68,blackgram
23,76,20,6.7,28,95,60,kidneybeans
34,135,204,6.9,19,87,62,grapes
95,86,55,6.9,29,194,77,banana
43,77,19,7.4,22,60,64,blackgram
26,75,17,6.6,27,88,69,lentil
109,43,21,6.4,29,53,62,cotton
23,76,25,7.3,24,83,68,pigeonpeas
0,55,21,7.3,30,72,65,pigeonpeas
14,25,36,6.9,35,62,68,pomegranate
15,28,45,6.3,31,91,68,pomegranate
37,55,15,6.5,28,69,60,mungbean
39,131,203,6.4,10,59,62,grapes
1,15,31,6.3,28,168,71,coconut
108,74,54,6.9,20,180,70,banana
6,77,18,6.7,26,56,65,lentil
115,6,49,6.7,20,91,74,watermelon
97,72,50,6.2,24,192,78,banana
108,86,48,5.5,20,176,70,banana
35,47,47,6.1,26,141,72,papaya
24,5,30,6.8,29,158,71,coconut
33,64,21,6.1,25,59,61,kidneybeans
17,79,21,6.2,30,78,66,lentil
3,57,17,6.7,23,56,63,mungbean
118,60,25,6.8,25,92,64,cotton
24,74,25,6.8,22,70,67,blackgram
8,122,201,6.1,8,102,64,apple
67,56,44,6.6,33,131,79,rice
93,71,48,5.7,25,199,74,banana
9,65,24,6.9,25,95,62,kidneybeans
34,9,11,6.9,24,123,68,orange
6,25,28,6.3,24,127,79,mango
120,91,48,6.7,26,196,80,banana
16,12,27,6.7,24,183,70,coconut
30,6,34,6.4,22,161,75,coconut
92,7,49,7,20,52,78,muskmelon
89,55,39,5.8,33,126,72,rice
20,70,23,5.9,31,54,65,pigeonpeas
25,55,18,6.9,25,76,69,lentil
7,7,38,6,20,68,62,pomegranate
68,43,19,6.6,20,91,55,maize
43,45,51,6.6,26,99,78,papaya
113,11,53,7,20,77,71,watermelon
38,35,25,6.8,26,57,67,mungbean
139,50,20,6.6,27,92,70,cotton
32,56,25,6.1,21,75,65,kidneybeans
25,129,204,6,10,59,68,grapes
32,128,203,6.7,11,45,67,grapes
5,17,44,6.9,37,85,61,pomegranate
136,46,16,6.5,25,74,65,cotton
3,12,36,6.7,27,53,64,pomegranate
0,42,22,6.5,20,85,69,mothbeans
138,55,23,6.3,23,76,65,cotton
51,64,79,7,25,78,65,chickpea
86,17,51,6.4,20,95,80,watermelon
40,47,24,6.9,28,100,67,mothbeans
40,57,24,6.7,28,98,63,kidneybeans
119,16,50,6,20,94,72,muskmelon
100,18,45,6,20,55,73,muskmelon
13,31,27,6.4,21,143,71,mango
28,72,17,6.3,27,89,61,lentil
46,63,49,6.7,24,113,73,papaya
30,19,30,6.5,22,185,71,mango
3,25,30,6,30,200,75,mango
34,26,34,7.5,29,172,77,mango
48,60,16,6.3,23,81,68,blackgram
51,79,81,6.1,26,82,62,chickpea
21,50,22,7,25,64,67,mothbeans
14,77,23,6.2,20,71,62,kidneybeans
31,72,81,6.9,24,87,62,chickpea
94,93,45,5.7,30,190,71,banana
21,25,32,7.1,35,150,77,coconut
103,13,46,6.2,20,97,73,watermelon
30,122,197,6.9,10,76,61,apple
10,142,196,6.6,10,112,69,apple
32,28,44,6.8,26,90,64,pomegranate
97,16,49,6.6,20,52,77,muskmelon
92,13,46,6,20,83,70,watermelon
52,46,47,6.7,23,103,75,papaya
26,9,25,7.5,29,197,74,coconut
18,127,196,6.1,10,133,68,apple
82,17,50,6.2,20,92,76,muskmelon
73,60,25,6.8,21,95,55,maize
37,55,16,5.9,33,75,63,pigeonpeas
28,73,17,6.1,35,93,65,pigeonpeas
108,78,55,5.7,29,153,71,banana
8,29,26,6.7,26,138,71,mango
23,120,203,6.8,16,94,67,grapes
90,91,48,7,27,168,74,banana
80,54,44,6.2,27,128,72,rice
29,77,21,7.3,31,75,60,pigeonpeas
112,75,54,6.3,28,191,70,banana
17,22,5,7,28,139,67,orange
18,10,25,7.2,25,185,77,coconut
118,14,46,6.9,20,79,75,watermelon
117,21,45,6.7,20,61,77,watermelon
38,54,18,6.5,25,64,65,mungbean
116,42,23,6.8,22,64,62,cotton
90,27,53,6.9,20,84,79,muskmelon
114,80,46,6.6,28,195,74,banana
30,39,23,7.2,25,95,60,mothbeans
8,67,23,7.2,28,85,62,pigeonpeas
28,58,23,6.8,23,63,61,kidneybeans
30,70,79,6.9,27,61,68,chickpea
32,127,197,6.6,19,40,69,grapes
20,44,24,6.2,26,61,63,mothbeans
90,38,16,6.4,21,76,60,maize
11,73,18,6.9,26,94,60,kidneybeans
33,123,204,6.3,5,137,68,apple
23,21,14,6.7,22,124,60,orange
20,28,44,6.3,38,53,60,pomegranate
63,38,16,6.4,28,54,56,maize
20,77,24,6.8,27,72,65,kidneybeans
122,57,16,6.6,29,86,62,cotton
25,38,23,6.5,21,63,61,mungbean
14,57,17,6.1,23,62,67,kidneybeans
83,95,50,6.8,22,167,71,banana
84,22,46,6.1,20,85,71,muskmelon
28,75,18,6,25,87,66,pigeonpeas
39,54,23,6.8,23,51,60,mungbean
23,49,24,7.3,33,54,69,mothbeans
134,59,25,6.2,21,57,68,cotton
32,26,32,7,26,105,80,mango
30,7,41,6.2,34,100,66,pomegranate
17,68,17,5.9,22,60,60,pigeonpeas
100,55,42,6.7,26,117,80,rice
115,30,46,6.1,20,68,78,muskmelon
22,78,84,6.5,28,72,62,chickpea
135,45,23,6.6,24,71,66,cotton
11,56,23,6.9,24,78,60,mothbeans
110,85,45,6,27,187,79,banana
19,23,28,7.1,24,162,71,coconut
27,63,78,6.5,22,53,70,chickpea
92,27,54,6.5,20,69,78,muskmelon
27,62,23,6.6,22,64,67,lentil
25,7,29,6.9,24,169,71,coconut
87,74,47,6.1,28,191,78,banana
57,61,78,6.4,29,82,61,chickpea
93,84,51,6.8,24,187,73,banana
94,72,45,6.1,30,187,73,banana
132,41,24,6.8,26,90,68,cotton
30,31,25,7,27,184,70,mango
5,58,21,6.5,28,73,64,mungbean
88,50,23,7.4,29,68,60,maize
87,26,54,6.3,20,51,77,muskmelon
37,53,50,6.2,20,130,76,papaya
8,19,7,6.7,22,118,70,orange
21,139,205,6.5,17,73,61,grapes
21,140,203,6.4,19,98,68,grapes
31,5,29,6.1,29,176,80,coconut
35,21,30,6.6,29,130,75,mango
28,65,24,6.3,22,50,60,kidneybeans
32,56,25,6.2,30,64,62,lentil
24,126,201,6.5,18,94,67,grapes
60,53,45,6.3,25,81,78,papaya
25,27,33,6.9,20,170,71,coconut
87,79,49,6.9,30,187,70,banana
96,16,49,7,20,52,77,muskmelon
33,59,25,6.7,22,80,69,mungbean
19,125,201,6.8,6,102,69,apple
10,78,20,6.8,23,75,64,lentil
118,71,55,6.2,22,153,70,banana
66,56,47,6.4,20,94,75,papaya
21,19,15,6.6,21,87,70,orange
6,56,17,5.9,26,66,63,pigeonpeas
114,21,45,6.8,20,63,77,watermelon
29,71,77,6.7,23,70,60,chickpea
13,62,15,6.3,24,63,62,lentil
97,71,47,6.7,29,172,80,banana
21,6,25,7.1,30,154,70,coconut
30,53,25,6.1,24,83,70,mothbeans
15,65,23,6.4,27,64,61,lentil
5,23,27,6.1,22,128,80,mango
23,56,75,6,23,92,67,chickpea
119,52,24,6.6,25,64,64,cotton
35,9,27,6.7,35,161,72,coconut
9,46,18,6.9,25,87,66,mungbean
36,63,17,6.9,34,93,70,blackgram
13,40,23,6.5,32,75,61,mothbeans
8,10,34,6.4,26,192,74,coconut
23,145,202,6.9,5,129,61,apple
91,15,45,6.6,20,66,80,watermelon
1,20,29,6.2,33,128,80,mango
98,36,22,6.6,21,71,53,maize
16,63,23,6.1,30,93,60,kidneybeans
111,74,53,5.7,22,173,74,banana
2,48,23,7.3,33,59,66,mothbeans
18,68,22,6.3,22,91,69,lentil
33,38,22,6.2,27,65,68,mungbean
33,55,20,7.4,27,57,63,pigeonpeas
27,78,77,6.6,23,62,62,chickpea
35,52,17,6.7,28,92,62,mungbean
74,36,23,7.5,29,62,55,maize
85,90,48,6.4,28,193,73,banana
34,57,17,6.3,25,93,64,mothbeans
35,144,195,6.9,19,58,66,grapes
83,38,44,5.7,35,112,79,rice
6,145,198,6.6,20,88,60,grapes
119,5,46,6.7,20,53,73,watermelon
91,23,47,6.1,20,72,76,muskmelon
32,75,77,6.1,21,41,62,chickpea
38,23,30,7.3,23,156,70,mango
32,77,21,6.7,26,98,63,kidneybeans
26,132,200,6.5,11,83,69,grapes
18,22,26,6.8,28,155,78,coconut
18,23,31,6.2,25,131,74,mango
16,37,23,6.1,32,53,66,mungbean
6,37,35,7,26,198,71,mango
37,48,19,6.1,28,98,65,mothbeans
18,43,21,6.6,32,53,70,mungbean
3,18,31,7.1,28,182,79,mango
30,21,27,7.4,25,161,75,coconut
21,135,202,6.2,6,116,66,apple
59,60,82,6.3,21,98,67,chickpea
23,58,19,6.4,24,74,67,blackgram
2,30,38,6.4,36,54,69,pomegranate
26,13,40,6.4,36,91,63,pomegranate
36,70,23,6.6,22,51,64,kidneybeans
60,62,51,6.1,24,93,73,papaya
26,69,25,6.4,34,60,61,pigeonpeas
23,144,195,6.1,10,80,62,grapes
61,37,17,7.2,25,99,52,maize
23,66,18,6.9,28,70,65,pigeonpeas
23,61,17,6,30,89,63,blackgram
116,71,52,6.8,30,150,76,banana
14,52,20,6.1,34,99,63,mungbean
107,8,45,6.9,20,67,74,watermelon
38,64,20,5.9,27,60,63,pigeonpeas
83,70,52,6.7,23,159,70,banana
24,56,15,6.9,28,66,62,pigeonpeas
19,15,7,6.8,28,99,70,orange
32,67,15,6.6,29,70,61,pigeonpeas
21,120,196,6.4,10,93,69,grapes
41,77,78,6.1,26,86,61,chickpea
96,28,47,6.7,20,61,71,muskmelon
33,73,83,7,25,51,63,chickpea
53,48,48,6.2,23,105,75,papaya
8,17,15,6.6,27,141,69,orange
81,86,51,5.6,29,185,79,banana
5,69,23,6.7,27,81,66,kidneybeans
8,17,41,6.9,23,55,61,pomegranate
15,9,42,6.4,38,78,62,pomegranate
55,79,76,6.9,24,94,66,chickpea
10,120,201,6.4,9,146,64,apple
43,61,53,6.1,24,120,74,papaya
22,53,15,6.9,23,88,67,mothbeans
84,21,49,6.2,20,63,74,muskmelon
140,42,18,6.1,23,73,66,cotton
60,44,25,6.3,28,86,53,maize
19,145,202,6.4,10,120,67,apple
24,120,205,6.3,5,112,61,apple
87,38,19,6.7,21,100,51,maize
32,40,26,7.2,26,167,75,mango
27,67,76,7.1,20,95,64,chickpea
24,79,18,6.8,28,68,70,kidneybeans
89,41,25,6.7,23,99,50,maize
33,24,15,6,27,109,67,orange
16,137,205,6.6,13,75,68,grapes
4,36,32,7.3,33,117,74,mango
60,45,43,6.1,23,137,73,rice
137,57,25,6.8,29,59,61,cotton
35,57,75,6.8,30,60,61,chickpea
27,11,5,6.7,30,119,68,orange
30,35,24,6.5,27,89,62,mungbean
40,42,19,6.6,31,93,61,mothbeans
0,135,204,6.4,19,63,65,grapes
37,64,23,6.3,25,53,62,kidneybeans
100,59,22,6.8,26,83,66,cotton
38,15,40,6.7,38,59,63,pomegranate
27,135,203,6,15,71,61,grapes
40,66,78,7.4,23,93,66,chickpea
26,28,35,6.8,21,99,61,pomegranate
3,25,15,6.9,28,139,61,orange
25,141,204,6.6,15,72,67,grapes
52,79,79,6.2,26,100,66,chickpea
54,76,17,7.3,26,66,62,blackgram
20,17,42,6.8,22,91,68,pomegranate
35,78,20,6.3,23,89,70,kidneybeans
41,53,49,6.7,27,136,76,papaya
1,57,19,6,24,88,67,mungbean
123,43,22,6,27,66,61,cotton
8,24,29,6.4,33,179,71,coconut
97,26,54,6.5,20,91,80,watermelon
103,10,53,6.3,20,64,79,muskmelon
26,136,195,6.4,6,148,66,apple
25,52,25,6.6,24,76,66,mothbeans
29,40,20,6.7,34,68,67,mungbean
78,40,44,6.9,22,109,76,rice
6,143,203,6.7,16,48,65,grapes
17,137,197,6.7,9,117,68,apple
37,67,25,7.2,32,95,60,blackgram
76,45,25,6.9,30,96,57,maize
42,72,22,6.2,31,91,66,blackgram
24,27,36,6.1,37,92,66,pomegranate
133,35,16,6.7,20,78,69,cotton
86,41,21,6.4,21,98,59,maize
121,40,21,6.4,25,53,67,cotton
96,55,25,6.6,24,50,52,maize
37,77,17,6.4,28,98,66,lentil
31,63,24,7.3,24,53,66,blackgram
116,20,53,6.1,20,66,71,watermelon
35,122,199,6.3,8,95,65,apple
37,136,195,6.4,5,106,69,apple
112,89,54,6.2,25,155,80,banana
22,69,19,7.3,31,100,60,pigeonpeas
37,77,23,6,28,84,60,lentil
120,7,51,6.2,20,93,72,muskmelon
24,41,18,6.4,29,61,67,mungbean
48,68,17,7.4,32,67,69,blackgram
21,76,16,6.5,26,94,64,kidneybeans
27,10,39,6,39,60,65,pomegranate
21,54,16,6.1,25,92,63,mothbeans
26,133,204,6.4,16,43,63,grapes
40,135,195,6.4,11,72,66,grapes
116,5,47,6.9,20,63,77,muskmelon
38,70,22,7.2,24,72,62,blackgram
13,56,16,7.5,28,53,61,pigeonpeas
14,14,13,6.6,20,94,63,orange
3,23,5,6.3,30,91,69,orange
32,18,29,6.8,26,200,71,coconut
18,144,198,6,5,150,70,apple
12,55,20,6.6,29,94,66,kidneybeans
39,10,40,6.9,37,63,60,pomegranate
35,39,17,6.7,24,52,67,mothbeans
46,62,53,6.9,28,96,71,papaya
21,61,17,6.2,20,53,69,kidneybeans
67,54,36,6.5,22,141,75,rice
118,15,52,6.7,20,74,71,watermelon
1,35,19,6.1,34,66,70,mothbeans
116,15,46,6,20,65,76,muskmelon
4,8,44,6.4,30,98,70,pomegranate
38,44,24,6.2,26,87,70,mungbean
14,56,18,7.4,20,97,63,pigeonpeas
31,69,18,6.4,35,61,65,pigeonpeas
10,137,198,6.7,8,105,60,apple
21,23,10,6.2,28,148,63,orange
22,72,23,6.9,22,62,60,kidneybeans
32,19,11,6.4,27,148,63,orange
30,75,16,6.1,20,91,65,kidneybeans
109,5,49,6.3,20,78,79,muskmelon
30,70,24,6.4,20,76,60,lentil
17,39,20,7.2,24,60,62,mothbeans
14,59,19,6.4,26,96,65,kidneybeans
24,27,8,6.7,22,138,70,orange
32,145,202,6.7,9,119,65,apple
12,29,30,7.4,34,162,77,coconut
111,9,54,6.1,20,58,70,watermelon
3,16,28,6,20,137,78,mango
52,60,24,7.3,28,52,67,blackgram
45,73,78,6.6,22,75,67,chickpea
81,55,15,6.5,21,60,60,maize
31,76,85,7,24,44,68,chickpea
81,84,48,5.9,26,188,79,banana
8,57,15,6.7,20,56,61,pigeonpeas
94,54,36,6,25,129,79,rice
24,29,44,6.8,30,67,60,pomegranate
7,59,18,7.1,25,84,69,mothbeans
63,53,16,6.7,29,63,51,maize
75,51,25,7.2,25,85,59,maize
7,36,34,6.7,26,168,74,mango
1,61,21,6.6,28,77,62,lentil
138,48,24,6.7,23,54,63,cotton
58,62,45,6.8,29,98,71,papaya
109,13,53,6.6,20,97,77,muskmelon
42,49,55,6.3,23,112,76,papaya
30,70,84,7.4,30,47,66,chickpea
15,80,20,7,24,66,70,kidneybeans
110,41,23,6.4,26,93,62,cotton
13,76,15,5.7,31,77,67,pigeonpeas
16,10,43,6.6,32,71,61,pomegranate
69,44,44,5.6,26,144,75,rice
40,12,7,7,27,89,60,orange
20,41,24,6.4,33,71,67,mungbean
25,64,22,6.4,22,98,63,lentil
12,71,24,6.4,24,96,68,lentil
80,92,51,6.9,30,171,75,banana
102,18,54,6.2,20,52,70,muskmelon
15,24,25,7.1,31,133,80,mango
9,46,15,6.8,34,85,69,mothbeans
1,141,200,6.6,10,88,65,apple
36,15,10,6.4,28,134,61,orange
6,27,45,6.9,20,89,66,pomegranate
9,9,29,6.2,21,175,76,coconut
20,72,16,7.1,33,77,67,blackgram
54,79,25,7.5,27,77,66,blackgram
9,30,11,6.9,25,121,62,orange
58,74,78,6.7,30,28,62,chickpea
14,30,38,6.6,34,94,62,pomegranate
16,47,20,7,24,76,61,mothbeans
27,26,45,6.2,21,92,61,pomegranate
45,53,54,6.4,27,118,70,papaya
67,48,24,6.4,26,84,57,maize
101,57,21,6.2,27,52,69,cotton
18,64,21,6.6,29,77,63,lentil
1,16,26,7.4,28,163,76,coconut
81,89,47,6.5,24,158,78,banana
36,66,81,6.3,30,89,65,chickpea
95,6,51,6.4,20,92,75,watermelon
99,26,47,6.6,20,91,71,muskmelon
3,133,195,6.2,10,138,63,apple
22,58,18,7.3,28,56,67,blackgram
34,62,46,6.9,23,133,80,papaya
119,15,51,6.5,20,97,70,watermelon
12,15,31,6.2,34,154,71,coconut
22,77,23,6.7,29,76,63,lentil
66,57,55,6,29,91,78,papaya
93,51,19,6.6,25,92,56,maize
23,22,39,6.8,24,58,65,pomegranate
33,16,32,6.7,20,116,71,mango
17,18,32,6.7,35,147,70,mango
34,139,200,6.7,6,82,61,apple
34,9,29,7.4,21,188,71,coconut
82,41,20,6.8,25,94,55,maize
37,66,15,7,34,52,64,blackgram
34,45,55,6.9,21,130,71,papaya
34,15,26,7.5,22,156,76,coconut
114,10,47,6.6,20,92,76,muskmelon
35,67,24,6.2,32,53,70,blackgram
100,48,25,6.7,28,58,54,maize
1,61,25,6.1,20,51,69,lentil
12,76,25,6.1,24,66,70,kidneybeans
127,40,25,6,23,82,67,cotton
80,41,23,6.5,21,82,58,maize
17,54,23,6,34,60,63,mungbean
4,136,195,6.6,13,46,69,grapes
118,12,50,6.2,20,59,76,watermelon
113,55,16,6,28,100,62,cotton
61,35,36,6.5,31,148,78,rice
5,128,199,6.8,13,30,61,grapes
6,26,27,7.5,22,113,76,mango
20,69,23,6.8,27,70,60,blackgram
106,92,48,6,26,199,74,banana
11,63,15,6.2,28,59,62,kidneybeans
122,55,24,6.9,26,97,63,cotton
81,59,36,6.4,23,127,77,rice
56,50,49,6.9,29,92,75,papaya
33,79,19,6.5,21,58,67,pigeonpeas
104,91,50,5.5,20,163,78,banana
33,74,76,6.4,29,32,68,chickpea
111,5,49,6.7,20,71,80,watermelon
40,22,27,6.9,31,149,78,mango
82,38,24,6.6,20,79,55,maize
34,65,23,6.3,33,70,70,pigeonpeas
110,20,52,6.9,20,83,75,watermelon
62,50,48,6.3,27,99,71,papaya
80,49,36,6.5,27,139,78,rice
4,7,25,6.2,23,151,76,coconut
107,19,50,6.5,20,75,78,muskmelon
26,144,197,6.1,8,112,64,apple
38,144,205,6.3,13,95,67,grapes
103,12,55,6.5,20,86,78,watermelon
22,26,28,6.4,20,166,80,coconut
38,8,44,6.3,34,71,65,pomegranate
36,137,197,6.5,14,93,70,grapes
101,25,54,6.3,20,95,71,watermelon
106,39,15,6.8,24,64,63,cotton
12,23,32,7.4,30,101,70,mango
0,58,17,5.5,32,50,64,pigeonpeas
83,18,50,7,20,83,72,watermelon
36,132,202,6.4,11,40,65,grapes
118,93,49,5.6,30,178,72,banana
108,83,52,6.5,25,150,76,banana
33,63,15,6,20,52,60,pigeonpeas
22,69,17,6.8,25,53,60,lentil
10,24,11,6.3,26,122,62,orange
128,44,25,6.7,25,55,69,cotton
95,77,46,6.8,22,185,75,banana
110,41,23,6.1,30,83,63,cotton
104,17,50,6.2,20,93,80,watermelon
34,64,48,6.5,26,147,77,papaya
17,59,24,6,23,84,66,lentil
131,44,17,6.2,20,55,69,cotton
11,18,34,6.7,33,162,73,mango
106,19,55,6.7,20,51,75,watermelon
67,57,19,7,25,58,50,maize
113,22,52,6.9,20,99,77,watermelon
109,5,47,6.5,20,98,70,muskmelon
31,138,201,6.3,8,116,65,apple
20,48,23,6.9,27,86,60,mothbeans
66,61,51,6.5,27,87,76,papaya
120,57,22,6.2,26,94,66,cotton
30,127,203,6.2,12,78,69,grapes
22,124,204,6.9,13,50,67,grapes
16,12,37,6.6,28,94,70,pomegranate
11,64,20,6.5,28,94,63,lentil
37,37,35,6.2,30,189,71,mango
24,28,11,6.7,24,84,70,orange
33,64,21,6.2,28,75,70,kidneybeans
26,10,34,7.5,31,196,73,coconut
7,34,27,7.4,30,156,75,mango
56,63,53,6.4,24,94,70,papaya
6,32,31,6.5,28,110,78,mango
8,30,35,6.9,25,161,75,coconut
99,30,50,6.2,20,74,71,muskmelon
19,124,202,6.1,19,57,70,grapes
37,66,20,6.3,27,59,70,kidneybeans
86,9,47,6.3,20,65,74,watermelon
54,80,19,6.3,30,64,69,blackgram
14,130,204,6.5,12,75,62,grapes
21,43,15,6.3,34,92,65,mothbeans
49,78,80,7,29,73,66,chickpea
59,62,83,6.5,21,62,68,chickpea
86,19,45,6.9,20,79,72,muskmelon
101,47,20,6.7,29,78,62,cotton
81,29,46,6.6,20,63,77,watermelon
15,13,12,6.1,28,121,67,orange
35,63,15,6.4,25,79,60,lentil
28,51,21,6.5,25,73,61,mothbeans
37,21,14,6.5,22,94,69,orange
5,14,30,7.4,30,196,71,coconut
32,10,30,6.2,20,191,77,coconut
132,57,19,6.3,25,73,69,cotton
29,7,31,6.2,20,161,73,coconut
13,30,26,7.1,34,123,74,mango
80,59,38,6,21,141,70,rice
21,68,21,6.8,30,85,62,kidneybeans
37,64,21,6.1,21,58,70,lentil
12,120,196,6.1,7,83,69,apple
4,14,14,6.4,22,98,63,orange
89,94,53,6.9,30,152,72,banana
17,25,27,7.1,30,172,72,mango
77,56,19,6.1,20,79,59,maize
5,5,35,6.3,23,81,64,pomegranate
38,74,17,6.4,22,63,62,kidneybeans
88,15,50,6.4,20,63,73,muskmelon
14,60,25,6.8,24,62,63,mothbeans
61,48,42,7,32,147,76,rice
9,73,20,6.7,29,99,60,lentil
40,74,23,6.3,33,93,60,blackgram
5,71,17,6.9,31,61,65,pigeonpeas
114,28,52,6,20,75,75,watermelon
3,55,18,6.6,25,81,70,lentil
114,58,23,6.8,30,54,61,cotton
67,48,15,7.3,24,72,54,maize
12,9,29,6.2,20,155,75,coconut
116,37,22,6.7,27,70,69,cotton
14,11,26,6.3,24,197,72,coconut
7,145,200,6,10,57,64,grapes
38,35,20,6.9,26,94,65,mothbeans
43,55,49,6,28,83,70,papaya
0,127,200,6.7,8,112,67,apple
19,71,21,6.3,28,57,67,pigeonpeas
28,124,203,6.6,6,144,63,apple
94,25,48,6.6,20,81,72,watermelon
80,93,47,5.7,20,155,72,banana
18,134,199,6.2,5,89,66,apple
2,8,14,7,27,132,65,orange
10,19,35,6.3,36,71,68,pomegranate
50,72,21,6.7,28,69,67,blackgram
82,42,20,6.7,20,83,54,maize
0,72,18,6.6,30,75,62,lentil
7,46,19,7.1,33,98,66,mothbeans
92,25,54,6.8,20,64,77,muskmelon
102,5,51,6.1,20,81,77,muskmelon
111,75,48,6.1,30,189,71,banana
29,29,7,6.7,25,138,62,orange
64,68,53,6.7,25,117,74,papaya
95,52,37,6.4,24,124,70,rice
54,62,78,6,27,88,63,chickpea
2,21,25,7.4,28,167,80,coconut
26,23,33,7.4,34,198,78,coconut
86,51,17,7.1,24,92,58,maize
36,15,31,6.4,29,176,70,coconut
24,60,16,6.5,27,81,62,lentil
19,126,195,6.7,12,41,65,grapes
8,128,197,6.4,8,99,62,apple
0,61,16,6.9,29,81,66,lentil
21,56,15,7,30,69,65,blackgram
